Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD,Avg Volume,Previous Closing Price,1-Day Change,Overall Rating
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$32,496.47 ",2.03%,"4,960,020",$83.08 ,1.08%,
XLF,Financial Select Sector SPDR Fund,Equity,"$32,012.37 ",1.55%,"55,078,280",$28.12 ,0.57%,
XLK,Technology Select Sector SPDR Fund,Equity,"$22,828.20 ",14.47%,"12,682,831",$72.72 ,0.36%,
VGT,Vanguard Information Technology ETF,Equity,"$21,666.42 ",16.81%,"476,052",$191.51 ,0.26%,
XLE,Energy Select Sector SPDR Fund,Equity,"$18,784.44 ",5.57%,"14,255,882",$75.24 ,-0.52%,
XLV,Health Care Select Sector SPDR Fund,Equity,"$17,438.01 ",9.41%,"7,601,997",$89.81 ,0.59%,
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$14,118.46 ",13.97%,"4,984,000",$111.86 ,0.34%,
XLI,Industrial Select Sector SPDR Fund,Equity,"$13,045.75 ",1.04%,"11,650,620",$75.85 ,0.09%,
AMLP,Alerian MLP ETF,Equity,"$10,466.66 ",7.92%,"13,263,451",$11.20 ,0.36%,
IBB,iShares Nasdaq Biotechnology ETF,Equity,"$9,288.18 ",9.89%,"2,555,231",$117.17 ,-0.75%,
FDN,First Trust Dow Jones Internet Index,Equity,"$9,154.44 ",25.42%,"655,940",$137.81 ,-0.40%,
XLP,Consumer Staples Select Sector SPDRFund,Equity,"$9,114.54 ",-3.30%,"13,727,179",$54.29 ,1.17%,
GDX,VanEck Vectors Gold Miners ETF,Equity,"$8,830.20 ",-8.95%,"32,182,624",$21.16 ,1.05%,
VFH,Vanguard Financials ETF,Equity,"$8,387.35 ",2.26%,"594,308",$71.00 ,0.38%,
VHT,Vanguard Healthcare ETF,Equity,"$7,911.53 ",11.34%,"133,580",$170.53 ,0.39%,
XLU,Utilities Select Sector SPDR Fund,Equity,"$7,556.26 ",2.87%,"15,278,303",$53.30 ,1.12%,
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Real Estate,"$5,995.63 ",-2.65%,"419,065",$58.09 ,0.41%,
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$5,747.24 ",2.57%,"319,274",$33.70 ,0.39%,
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$5,692.59 ",8.80%,"279,445",$203.78 ,-0.34%,
XBI,SPDR S&P Biotech ETF,Equity,"$5,359.55 ",11.73%,"4,304,392",$94.71 ,-1.32%,
KRE,SPDR S&P Regional Banking ETF,Equity,"$5,246.52 ",6.36%,"5,927,322",$62.16 ,-0.91%,
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"$5,070.45 ",-7.82%,"9,120,332",$31.46 ,0.74%,
XLB,Materials Select Sector SPDR ETF,Equity,"$4,695.18 ",-1.22%,"5,598,921",$59.29 ,0.95%,
SCHH,Schwab US REITETF,Real Estate,"$4,620.59 ",3.61%,"693,408",$42.51 ,1.07%,
VDE,Vanguard Energy ETF,Equity,"$4,399.80 ",6.48%,"244,045",$104.04 ,-0.46%,
IYR,iShares U.S. Real Estate ETF,Real Estate,"$4,390.10 ",3.32%,"8,294,089",$82.21 ,1.18%,
IYW,iShares U.S. Technology ETF,Equity,"$4,279.81 ",15.81%,"195,217",$187.71 ,0.34%,
VDC,Vanguard Consumer Staples ETF,Equity,"$4,015.34 ",-2.12%,"130,331",$141.08 ,1.31%,
VIS,Vanguard Industrial ETF,Equity,"$3,865.94 ",1.54%,"116,512",$143.48 ,0.13%,
KBE,SPDR S&P Bank ETF,Equity,"$3,803.51 ",3.89%,"1,999,863",$48.86 ,-0.31%,
AMJ,JPMorgan Alerian MLPIndex ETN,Equity,"$3,431.96 ",7.06%,"1,625,217",$28.95 ,0.66%,
RWX,SPDR DJ Wilshire International Real Estate ETF,Real Estate,"$3,305.11 ",-0.94%,"453,488",$39.55 ,0.41%,
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Equity,"$3,195.37 ",13.37%,"17,530,072",$42.00 ,-1.11%,
VCR,Vanguard Consumer Discretionary ETF,Equity,"$2,998.64 ",11.69%,"76,175",$173.23 ,0.09%,
VAW,Vanguard Materials ETF,Equity,"$2,778.77 ",-1.01%,"84,258",$134.27 ,0.85%,
VPU,Vanguard Utilities ETF,Equity,"$2,754.94 ",3.48%,"139,488",$118.70 ,0.89%,
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$2,716.29 ",3.29%,"2,543,162",$33.54 ,1.30%,
IGF,iShares Global Infrastructure ETF,Equity,"$2,709.36 ",-2.16%,"206,095",$43.53 ,0.58%,
QTEC,First Trust NASDAQ100 Technology,Equity,"$2,668.32 ",11.66%,"145,982",$80.06 ,0.24%,
IHI,iShares U.S. Medical Devices ETF,Equity,"$2,637.03 ",21.20%,"133,103",$210.16 ,-0.10%,
ICF,iShares Cohen & Steers REIT ETF,Real Estate,"$2,597.24 ",2.80%,"108,875",$102.43 ,1.34%,
RWR,SPDR Dow Jones REITETF,Real Estate,"$2,547.48 ",3.49%,"175,586",$95.49 ,1.14%,
IXN,iShares Global Tech ETF,Equity,"$2,385.22 ",11.50%,"138,322",$170.78 ,0.35%,
RWO,SPDR DJ Wilshire Global Real Estate ETF,Real Estate,"$2,376.49 ",1.51%,"319,445",$48.83 ,0.85%,
XT,iShares Exponential Technologies ETF,Equity,"$2,365.06 ",7.90%,"130,183",$37.95 ,-0.03%,
EMLP,First Trust North American Energy Infrastructure Fund,Equity,"$2,301.69 ",0.32%,"418,528",$24.10 ,0.50%,
FTEC,Fidelity MSCIInformation Technology Index ETF,Equity,"$2,265.14 ",16.32%,"451,966",$57.86 ,0.24%,
FBT,First Trust Amex Biotechnology Index,Equity,"$2,116.01 ",19.73%,"105,982",$149.15 ,-1.46%,
ROBO,ROBO Global Robotics and Automation Index ETF,Equity,"$2,101.44 ",-1.45%,"313,571",$40.72 ,-0.15%,
IYH,iShares U.S. Healthcare ETF,Equity,"$2,098.07 ",10.61%,"57,592",$191.63 ,0.52%,
