Symbol,Company Name,Index Weight
NEM US,Newmont Mining Corp,0.09862
FNV CN,Franco-Nevada Corp,0.06894
ABX US,Barrick Gold Corp,0.06567
NCM AU,Newcrest Mining Ltd,0.06097
G CN,Goldcorp Inc,0.05437
WPM CN,Wheaton Precious Metals Corp,0.05064
AEM CN,Agnico Eagle Mines Ltd,0.04958
GOLD US,Randgold Resources Ltd,0.04432
RGLD US,Royal Gold Inc,0.03589
KL CN,Kirkland Lake Gold Ltd,0.03222
K CN,Kinross Gold Corp,0.02804
BVN US,Cia de Minas Buenaventura SAA,0.02467
AU US,AngloGold Ashanti Ltd,0.02355
EVN AU,Evolution Mining Ltd,0.02346
NST AU,Northern Star Resources Ltd,0.02108
GFI US,Gold Fields Ltd,0.01954
YRI CN,Yamana Gold Inc,0.01924
IMG CN,IAMGOLD Corp,0.01696
PAAS CN,Pan American Silver Corp,0.01645
BTO CN,B2Gold Corp,0.01577
2899 HK,Zijin Mining Group Co Ltd,0.01322
OGC CN,OceanaGold Corp,0.01259
EDV CN,Endeavour Mining Corp,0.01231
CEY LN,Centamin PLC,0.01144
DGC CN,Detour Gold Corp,0.0112
RRL AU,Regis Resources Ltd,0.01037
SBM AU,St Barbara Ltd,0.01018
SBGL US,Sibanye Gold Ltd,0.00982
PVG CN,Pretium Resources Inc,0.00963
OR CN,Osisko Gold Royalties Ltd,0.00936
THO CN,Tahoe Resources Inc,0.00913
AGI CN,Alamos Gold Inc,0.00911
CG CN,Centerra Gold Inc,0.00854
SSRM CN,SSR Mining Inc,0.00813
HL US,Hecla Mining Co,0.00802
CDE US,Coeur Mining Inc,0.00791
SAR AU,Saracen Mineral Holdings Ltd,0.00753
FR CN,First Majestic Silver Corp,0.00713
SMF CN,SEMAFO Inc,0.00599
FVI CN,Fortuna Silver Mines Inc,0.0056
ELD CN,Eldorado Gold Corp,0.00551
1818 HK,Zhaojin Mining Industry Co Ltd,0.00542
SSL CN,Sandstorm Gold Ltd,0.00516
NGD CN,New Gold Inc,0.005
MUX US,McEwen Mining Inc,0.00485
HMY US,Harmony Gold Mining Co Ltd,0.00478
RSG AU,Resolute Mining Ltd,0.00464
TXG CN,Torex Gold Resources Inc,0.00396
GUY CN,Guyana Goldfields Inc,0.00349
